Sum of Units Sold,Sum of Total Sales,Sum of Operating Profit,Average of Operating Margin,
"27,82,950","$11,50,110","$4,37,472",37%,
,,,,
,,,,
Row Labels,Sum of Total Sales,,,
Jan,"$80,088",,,
Feb,"$73,763",,,
Mar,"$68,073",,,
Apr,"$65,763",,,
May,"$97,393",,,
Jun,"$1,01,638",,,
Jul,"$1,31,388",,,
Aug,"$1,20,313",,,
Sep,"$81,088",,,
Oct,"$82,800",,,
Nov,"$1,02,420",,,
Dec,"$1,45,388",,,
Grand Total,"$11,50,110",,,
,,,,
,,,,
,,,,
Row Labels,Sum of Units Sold,,State,Unit sold
Illinois,"1,85,600",,Alabama,"4,08,500"
Indiana,"2,41,600",,Alaska,"3,12,250"
Iowa,"1,83,100",,Arizona,"3,31,500"
Kansas,"1,80,600",,Arkansas,"2,55,350"
Michigan,"2,80,350",,California,"10,37,250"
Minnesota,"1,56,850",,Colorado,"3,24,250"
Missouri,"3,16,350",,Connecticut,"1,69,600"
Montana,"3,28,000",,Delaware,"2,05,600"
Nebraska,"1,36,350",,Florida,"10,51,700"
North Dakota,"1,84,100",,Georgia,"5,79,350"
Ohio,"2,03,600",,Hawaii,"3,53,500"
South Dakota,"1,80,600",,Idaho,"2,88,250"
Wisconsin,"2,05,850",,Illinois,"1,85,600"
Grand Total,"27,82,950",,Indiana,"2,41,600"
,,,Iowa,"1,83,100"
,,,Kansas,"1,80,600"
,,,Kentucky,"3,63,350"
,,,Louisiana,"4,12,250"
,,,Maine,"1,72,600"
,,,Maryland,"2,41,600"
,,,Massachusetts,"2,41,600"
,,,Michigan,"2,80,350"
,,,Minnesota,"1,56,850"
,,,Mississippi,"3,09,350"
,,,Missouri,"3,16,350"
,,,Montana,"3,28,000"
,,,Nebraska,"1,36,350"
,,,Nevada,"3,24,000"
,,,New Hampshire,"2,38,850"
,,,New Jersey,"2,23,600"
,,,New Mexico,"3,13,500"
,,,New York,"11,25,200"
,,,North Carolina,"3,99,350"
,,,North Dakota,"1,84,100"
,,,Ohio,"2,03,600"
,,,Oklahoma,"2,37,350"
,,,Oregon,"3,46,750"
,,,Pennsylvania,"1,65,600"
,,,Rhode Island,"1,98,850"
,,,South Carolina,"5,07,350"
,,,South Dakota,"1,80,600"
,,,Tennessee,"4,27,750"
,,,Texas,"10,14,250"
,,,Utah,"3,10,750"
,,,Vermont,"2,56,850"
,,,Virginia,"4,03,350"
,,,Washington,"3,48,750"
,,,West Virginia,"1,54,600"
,,,Wisconsin,"2,05,850"
,,,Wyoming,"3,10,750"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
